,Date and Time,Description,data,column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
1,Jun 03 06:00:04,"Received: $GNGNS,003004.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*74","GNGNS,003004.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003004.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
17,Jun 03 06:00:05,"Received: $GNGNS,003005.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*75","GNGNS,003005.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003005.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
33,Jun 03 06:00:06,"Received: $GNGNS,003006.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*76","GNGNS,003006.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003006.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
51,Jun 03 06:00:07,"Received: $GNGNS,003007.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*77","GNGNS,003007.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003007.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
67,Jun 03 06:00:08,"Received: $GNGNS,003008.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*78","GNGNS,003008.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003008.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
83,Jun 03 06:00:09,"Received: $GNGNS,003009.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*79","GNGNS,003009.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003009.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
99,Jun 03 06:00:10,"Received: $GNGNS,003010.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*71","GNGNS,003010.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003010.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
115,Jun 03 06:00:11,"Received: $GNGNS,003011.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*70","GNGNS,003011.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003011.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
131,Jun 03 06:00:12,"Received: $GNGNS,003012.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*73","GNGNS,003012.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003012.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
147,Jun 03 06:00:13,"Received: $GNGNS,003013.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V*72","GNGNS,003013.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,,,V",GNGNS,003013.000,1256.5957,N,07741.5337,E,ANA,17,0.5,923.8,-89.9,0,0,V,0,0,0,0,0,0,0
