,Date and Time,Description,status,column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
0,Feb 12 09:00:03,"Received: $GNGNS,170003.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4B",Received,$GNGNS,170003.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4B,,,,,,,
13,Feb 12 09:00:04,"Received: $GNGNS,170004.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4C",Received,$GNGNS,170004.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4C,,,,,,,
26,Feb 12 09:00:05,"Received: $GNGNS,170005.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4D",Received,$GNGNS,170005.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4D,,,,,,,
39,Feb 12 09:00:06,"Received: $GNGNS,170006.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4E",Received,$GNGNS,170006.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4E,,,,,,,
52,Feb 12 09:00:07,"Received: $GNGNS,170007.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4F",Received,$GNGNS,170007.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4F,,,,,,,
65,Feb 12 09:00:08,"Received: $GNGNS,170008.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*40",Received,$GNGNS,170008.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*40,,,,,,,
78,Feb 12 09:00:09,"Received: $GNGNS,170009.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*41",Received,$GNGNS,170009.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*41,,,,,,,
91,Feb 12 09:00:10,"Received: $GNGNS,170010.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*49",Received,$GNGNS,170010.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*49,,,,,,,
104,Feb 12 09:00:11,"Received: $GNGNS,170011.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*48",Received,$GNGNS,170011.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*48,,,,,,,
119,Feb 12 09:00:12,"Received: $GNGNS,170012.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4B",Received,$GNGNS,170012.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4B,,,,,,,
132,Feb 12 09:00:13,"Received: $GNGNS,170013.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4A",Received,$GNGNS,170013.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4A,,,,,,,
145,Feb 12 09:00:14,"Received: $GNGNS,170014.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4D",Received,$GNGNS,170014.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4D,,,,,,,
158,Feb 12 09:00:15,"Received: $GNGNS,170015.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4C",Received,$GNGNS,170015.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4C,,,,,,,
171,Feb 12 09:00:16,"Received: $GNGNS,170016.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4F",Received,$GNGNS,170016.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4F,,,,,,,
184,Feb 12 09:00:17,"Received: $GNGNS,170017.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4E",Received,$GNGNS,170017.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4E,,,,,,,
197,Feb 12 09:00:18,"Received: $GNGNS,170018.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*41",Received,$GNGNS,170018.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*41,,,,,,,
210,Feb 12 09:00:19,"Received: $GNGNS,170019.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*40",Received,$GNGNS,170019.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*40,,,,,,,
223,Feb 12 09:00:20,"Received: $GNGNS,170020.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4A",Received,$GNGNS,170020.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4A,,,,,,,
236,Feb 12 09:00:21,"Received: $GNGNS,170021.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4B",Received,$GNGNS,170021.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4B,,,,,,,
251,Feb 12 09:00:22,"Received: $GNGNS,170022.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*45",Received,$GNGNS,170022.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*45,,,,,,,
264,Feb 12 09:00:23,"Received: $GNGNS,170023.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*49",Received,$GNGNS,170023.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*49,,,,,,,
277,Feb 12 09:00:24,"Received: $GNGNS,170024.000,1255.9998,N,07740.9996,E,NNA,03,18.5,925.0,-89.9,,,V*4E",Received,$GNGNS,170024.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.5,925.0,-89.9,,,V*4E,,,,,,,
290,Feb 12 09:00:25,"Received: $GNGNS,170025.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*42",Received,$GNGNS,170025.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*42,,,,,,,
303,Feb 12 09:00:26,"Received: $GNGNS,170026.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*41",Received,$GNGNS,170026.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*41,,,,,,,
316,Feb 12 09:00:27,"Received: $GNGNS,170027.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*40",Received,$GNGNS,170027.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*40,,,,,,,
329,Feb 12 09:00:28,"Received: $GNGNS,170028.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*4F",Received,$GNGNS,170028.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*4F,,,,,,,
342,Feb 12 09:00:29,"Received: $GNGNS,170029.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*4E",Received,$GNGNS,170029.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*4E,,,,,,,
355,Feb 12 09:00:30,"Received: $GNGNS,170030.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*46",Received,$GNGNS,170030.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*46,,,,,,,
368,Feb 12 09:00:31,"Received: $GNGNS,170031.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*47",Received,$GNGNS,170031.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*47,,,,,,,
383,Feb 12 09:00:32,"Received: $GNGNS,170032.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*44",Received,$GNGNS,170032.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*44,,,,,,,
396,Feb 12 09:00:33,"Received: $GNGNS,170033.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*45",Received,$GNGNS,170033.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*45,,,,,,,
409,Feb 12 09:00:34,"Received: $GNGNS,170034.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*42",Received,$GNGNS,170034.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*42,,,,,,,
422,Feb 12 09:00:35,"Received: $GNGNS,170035.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*43",Received,$GNGNS,170035.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*43,,,,,,,
435,Feb 12 09:00:36,"Received: $GNGNS,170036.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*40",Received,$GNGNS,170036.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*40,,,,,,,
448,Feb 12 09:00:37,"Received: $GNGNS,170037.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*41",Received,$GNGNS,170037.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*41,,,,,,,
461,Feb 12 09:00:38,"Received: $GNGNS,170038.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*4E",Received,$GNGNS,170038.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*4E,,,,,,,
474,Feb 12 09:00:39,"Received: $GNGNS,170039.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*4F",Received,$GNGNS,170039.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*4F,,,,,,,
487,Feb 12 09:00:40,"Received: $GNGNS,170040.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*41",Received,$GNGNS,170040.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*41,,,,,,,
500,Feb 12 09:00:41,"Received: $GNGNS,170041.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*40",Received,$GNGNS,170041.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*40,,,,,,,
515,Feb 12 09:00:42,"Received: $GNGNS,170042.000,1255.9998,N,07740.9996,E,NNA,03,18.8,925.0,-89.9,,,V*43",Received,$GNGNS,170042.000,15.693888888888889,N,80.44333333333333,E,NNA,03,18.8,925.0,-89.9,,,V*43,,,,,,,
528,Feb 12 09:00:43,"Received: $GNGNS,170043.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4B",Received,$GNGNS,170043.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4B,,,,,,,
541,Feb 12 09:00:44,"Received: $GNGNS,170044.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4C",Received,$GNGNS,170044.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4C,,,,,,,
554,Feb 12 09:00:45,"Received: $GNGNS,170045.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4D",Received,$GNGNS,170045.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4D,,,,,,,
567,Feb 12 09:00:46,"Received: $GNGNS,170046.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4E",Received,$GNGNS,170046.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4E,,,,,,,
580,Feb 12 09:00:47,"Received: $GNGNS,170047.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4F",Received,$GNGNS,170047.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4F,,,,,,,
593,Feb 12 09:00:48,"Received: $GNGNS,170048.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*40",Received,$GNGNS,170048.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*40,,,,,,,
606,Feb 12 09:00:49,"Received: $GNGNS,170049.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*41",Received,$GNGNS,170049.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*41,,,,,,,
619,Feb 12 09:00:50,"Received: $GNGNS,170050.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*49",Received,$GNGNS,170050.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*49,,,,,,,
632,Feb 12 09:00:51,"Received: $GNGNS,170051.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*48",Received,$GNGNS,170051.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*48,,,,,,,
647,Feb 12 09:00:52,"Received: $GNGNS,170052.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4B",Received,$GNGNS,170052.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4B,,,,,,,
660,Feb 12 09:00:53,"Received: $GNGNS,170053.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4A",Received,$GNGNS,170053.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4A,,,,,,,
673,Feb 12 09:00:54,"Received: $GNGNS,170054.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4D",Received,$GNGNS,170054.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4D,,,,,,,
686,Feb 12 09:00:55,"Received: $GNGNS,170055.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4C",Received,$GNGNS,170055.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4C,,,,,,,
699,Feb 12 09:00:56,"Received: $GNGNS,170056.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4F",Received,$GNGNS,170056.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4F,,,,,,,
712,Feb 12 09:00:57,"Received: $GNGNS,170057.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4E",Received,$GNGNS,170057.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4E,,,,,,,
725,Feb 12 09:00:58,"Received: $GNGNS,170058.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*41",Received,$GNGNS,170058.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*41,,,,,,,
738,Feb 12 09:00:59,"Received: $GNGNS,170059.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*40",Received,$GNGNS,170059.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*40,,,,,,,
751,Feb 12 09:01:00,"Received: $GNGNS,170100.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4D",Received,$GNGNS,170100.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4D,,,,,,,
764,Feb 12 09:01:01,"Received: $GNGNS,170101.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4C",Received,$GNGNS,170101.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4C,,,,,,,
779,Feb 12 09:01:02,"Received: $GNGNS,170102.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4F",Received,$GNGNS,170102.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4F,,,,,,,
792,Feb 12 09:01:03,"Received: $GNGNS,170103.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*4E",Received,$GNGNS,170103.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*4E,,,,,,,
805,Feb 12 09:01:04,"Received: $GNGNS,170104.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*49",Received,$GNGNS,170104.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*49,,,,,,,
818,Feb 12 09:01:05,"Received: $GNGNS,170105.000,1255.9998,N,07740.9996,E,NNA,03,19.0,925.0,-89.9,,,V*48",Received,$GNGNS,170105.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.0,925.0,-89.9,,,V*48,,,,,,,
831,Feb 12 09:01:06,"Received: $GNGNS,170106.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*48",Received,$GNGNS,170106.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*48,,,,,,,
844,Feb 12 09:01:07,"Received: $GNGNS,170107.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*49",Received,$GNGNS,170107.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*49,,,,,,,
857,Feb 12 09:01:08,"Received: $GNGNS,170108.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*46",Received,$GNGNS,170108.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*46,,,,,,,
870,Feb 12 09:01:09,"Received: $GNGNS,170109.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*47",Received,$GNGNS,170109.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*47,,,,,,,
883,Feb 12 09:01:10,"Received: $GNGNS,170110.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4F",Received,$GNGNS,170110.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4F,,,,,,,
896,Feb 12 09:01:11,"Received: $GNGNS,170111.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4E",Received,$GNGNS,170111.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4E,,,,,,,
911,Feb 12 09:01:12,"Received: $GNGNS,170112.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4D",Received,$GNGNS,170112.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4D,,,,,,,
924,Feb 12 09:01:13,"Received: $GNGNS,170113.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4C",Received,$GNGNS,170113.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4C,,,,,,,
937,Feb 12 09:01:14,"Received: $GNGNS,170114.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4B",Received,$GNGNS,170114.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4B,,,,,,,
950,Feb 12 09:01:15,"Received: $GNGNS,170115.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4A",Received,$GNGNS,170115.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4A,,,,,,,
963,Feb 12 09:01:16,"Received: $GNGNS,170116.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*49",Received,$GNGNS,170116.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*49,,,,,,,
976,Feb 12 09:01:17,"Received: $GNGNS,170117.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*48",Received,$GNGNS,170117.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*48,,,,,,,
989,Feb 12 09:01:18,"Received: $GNGNS,170118.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*47",Received,$GNGNS,170118.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*47,,,,,,,
1002,Feb 12 09:01:19,"Received: $GNGNS,170119.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*46",Received,$GNGNS,170119.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*46,,,,,,,
1015,Feb 12 09:01:20,"Received: $GNGNS,170120.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4C",Received,$GNGNS,170120.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4C,,,,,,,
1028,Feb 12 09:01:21,"Received: $GNGNS,170121.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4D",Received,$GNGNS,170121.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4D,,,,,,,
1043,Feb 12 09:01:22,"Received: $GNGNS,170122.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*4E",Received,$GNGNS,170122.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*4E,,,,,,,
1056,Feb 12 09:01:23,"Received: $GNGNS,170123.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*49",Received,$GNGNS,170123.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*49,,,,,,,
1069,Feb 12 09:01:24,"Received: $GNGNS,170124.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*48",Received,$GNGNS,170124.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*48,,,,,,,
1082,Feb 12 09:01:25,"Received: $GNGNS,170125.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*49",Received,$GNGNS,170125.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*49,,,,,,,
1095,Feb 12 09:01:26,"Received: $GNGNS,170126.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*4C",Received,$GNGNS,170126.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*4C,,,,,,,
1108,Feb 12 09:01:27,"Received: $GNGNS,170127.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*4D",Received,$GNGNS,170127.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*4D,,,,,,,
1121,Feb 12 09:01:28,"Received: $GNGNS,170128.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*44",Received,$GNGNS,170128.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*44,,,,,,,
1134,Feb 12 09:01:29,"Received: $GNGNS,170129.000,1255.9998,N,07740.9996,E,NNA,03,19.3,925.0,-89.9,,,V*45",Received,$GNGNS,170129.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.3,925.0,-89.9,,,V*45,,,,,,,
1147,Feb 12 09:01:30,"Received: $GNGNS,170130.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*4B",Received,$GNGNS,170130.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*4B,,,,,,,
1160,Feb 12 09:01:31,"Received: $GNGNS,170131.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*4A",Received,$GNGNS,170131.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*4A,,,,,,,
1175,Feb 12 09:01:32,"Received: $GNGNS,170132.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*49",Received,$GNGNS,170132.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*49,,,,,,,
1188,Feb 12 09:01:33,"Received: $GNGNS,170133.000,1255.9998,N,07740.9996,E,NNA,03,19.5,925.0,-89.9,,,V*48",Received,$GNGNS,170133.000,15.693888888888889,N,80.44333333333333,E,NNA,03,19.5,925.0,-89.9,,,V*48,,,,,,,
