,Date and Time,Description,status,column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
7,Jan 13 12:18:08,"Received: $PERDCRW,TPS1,19990821235950,0,00000000000000,+18,+00,0,+0000.000,+4308*1C",Received,$PERDCRW,TPS1,19990821235950,0,00000000000000,+18,+00,0,+0000.000,+4308*1C,,,,,,,,,,,
21,Jan 13 12:18:09,"Received: $PERDCRW,TPS1,19990821235951,0,00000000000000,+18,+00,0,+0000.000,+4308*1D",Received,$PERDCRW,TPS1,19990821235951,0,00000000000000,+18,+00,0,+0000.000,+4308*1D,,,,,,,,,,,
33,Jan 13 12:18:10,"Received: $PERDCRW,TPS1,19990821235952,0,00000000000000,+18,+00,0,+0000.000,+4308*1E",Received,$PERDCRW,TPS1,19990821235952,0,00000000000000,+18,+00,0,+0000.000,+4308*1E,,,,,,,,,,,
45,Jan 13 12:18:11,"Received: $PERDCRW,TPS1,19990821235953,0,00000000000000,+18,+00,0,+0000.000,+4308*1F",Received,$PERDCRW,TPS1,19990821235953,0,00000000000000,+18,+00,0,+0000.000,+4308*1F,,,,,,,,,,,
57,Jan 13 12:18:12,"Received: $PERDCRW,TPS1,19990821235954,0,00000000000000,+18,+00,0,+0000.000,+4309*19",Received,$PERDCRW,TPS1,19990821235954,0,00000000000000,+18,+00,0,+0000.000,+4309*19,,,,,,,,,,,
69,Jan 13 12:18:13,"Received: $PERDCRW,TPS1,19990821235955,0,00000000000000,+18,+00,0,+0000.000,+4309*18",Received,$PERDCRW,TPS1,19990821235955,0,00000000000000,+18,+00,0,+0000.000,+4309*18,,,,,,,,,,,
81,Jan 13 12:18:14,"Received: $PERDCRW,TPS1,19990821235956,0,00000000000000,+18,+00,0,+0000.000,+4309*1B",Received,$PERDCRW,TPS1,19990821235956,0,00000000000000,+18,+00,0,+0000.000,+4309*1B,,,,,,,,,,,
93,Jan 13 12:18:15,"Received: $PERDCRW,TPS1,19990821235957,0,00000000000000,+18,+00,0,+0000.000,+4309*1A",Received,$PERDCRW,TPS1,19990821235957,0,00000000000000,+18,+00,0,+0000.000,+4309*1A,,,,,,,,,,,
105,Jan 13 12:18:16,"Received: $PERDCRW,TPS1,19990821235958,0,00000000000000,+18,+00,0,+0000.000,+4309*15",Received,$PERDCRW,TPS1,19990821235958,0,00000000000000,+18,+00,0,+0000.000,+4309*15,,,,,,,,,,,
117,Jan 13 12:18:17,"Received: $PERDCRW,TPS1,19990821235959,0,00000000000000,+18,+00,0,+0000.000,+4309*14",Received,$PERDCRW,TPS1,19990821235959,0,00000000000000,+18,+00,0,+0000.000,+4309*14,,,,,,,,,,,
129,Jan 13 12:18:18,"Received: $PERDCRW,TPS1,19990822000000,0,00000000000000,+18,+00,0,+0000.000,+4309*16",Received,$PERDCRW,TPS1,19990822000000,0,00000000000000,+18,+00,0,+0000.000,+4309*16,,,,,,,,,,,
143,Jan 13 12:18:19,"Received: $PERDCRW,TPS1,19990822000001,0,00000000000000,+18,+00,0,+0000.000,+4309*17",Received,$PERDCRW,TPS1,19990822000001,0,00000000000000,+18,+00,0,+0000.000,+4309*17,,,,,,,,,,,
155,Jan 13 12:18:20,"Received: $PERDCRW,TPS1,19990822000002,0,00000000000000,+18,+00,0,+0000.000,+4309*14",Received,$PERDCRW,TPS1,19990822000002,0,00000000000000,+18,+00,0,+0000.000,+4309*14,,,,,,,,,,,
167,Jan 13 12:18:21,"Received: $PERDCRW,TPS1,19990822000003,0,00000000000000,+18,+00,0,+0000.000,+4309*15",Received,$PERDCRW,TPS1,19990822000003,0,00000000000000,+18,+00,0,+0000.000,+4309*15,,,,,,,,,,,
179,Jan 13 12:18:22,"Received: $PERDCRW,TPS1,19990822000004,0,00000000000000,+18,+00,0,+0000.000,+4309*12",Received,$PERDCRW,TPS1,19990822000004,0,00000000000000,+18,+00,0,+0000.000,+4309*12,,,,,,,,,,,
191,Jan 13 12:18:23,"Received: $PERDCRW,TPS1,19990822000005,0,00000000000000,+18,+00,0,+0000.000,+4309*13",Received,$PERDCRW,TPS1,19990822000005,0,00000000000000,+18,+00,0,+0000.000,+4309*13,,,,,,,,,,,
203,Jan 13 12:18:24,"Received: $PERDCRW,TPS1,19990822000006,0,00000000000000,+18,+00,0,+0000.000,+4309*10",Received,$PERDCRW,TPS1,19990822000006,0,00000000000000,+18,+00,0,+0000.000,+4309*10,,,,,,,,,,,
215,Jan 13 12:18:25,"Received: $PERDCRW,TPS1,19990822000007,0,00000000000000,+18,+00,0,+0000.000,+4309*11",Received,$PERDCRW,TPS1,19990822000007,0,00000000000000,+18,+00,0,+0000.000,+4309*11,,,,,,,,,,,
227,Jan 13 12:18:26,"Received: $PERDCRW,TPS1,19990822000008,0,00000000000000,+18,+00,0,+0000.000,+4309*1E",Received,$PERDCRW,TPS1,19990822000008,0,00000000000000,+18,+00,0,+0000.000,+4309*1E,,,,,,,,,,,
239,Jan 13 12:18:27,"Received: $PERDCRW,TPS1,19990822000009,0,00000000000000,+18,+00,0,+0000.000,+4309*1F",Received,$PERDCRW,TPS1,19990822000009,0,00000000000000,+18,+00,0,+0000.000,+4309*1F,,,,,,,,,,,
251,Jan 13 12:18:28,"Received: $PERDCRW,TPS1,19990822000010,0,00000000000000,+18,+00,0,+0000.000,+4309*17",Received,$PERDCRW,TPS1,19990822000010,0,00000000000000,+18,+00,0,+0000.000,+4309*17,,,,,,,,,,,
265,Jan 13 12:18:29,"Received: $PERDCRW,TPS1,19990822000011,0,00000000000000,+18,+00,0,+0000.000,+4309*16",Received,$PERDCRW,TPS1,19990822000011,0,00000000000000,+18,+00,0,+0000.000,+4309*16,,,,,,,,,,,
277,Jan 13 12:18:30,"Received: $PERDCRW,TPS1,19990822000012,0,00000000000000,+18,+00,0,+0000.000,+4309*15",Received,$PERDCRW,TPS1,19990822000012,0,00000000000000,+18,+00,0,+0000.000,+4309*15,,,,,,,,,,,
289,Jan 13 12:18:31,"Received: $PERDCRW,TPS1,19990822000013,0,00000000000000,+18,+00,0,+0000.000,+4309*14",Received,$PERDCRW,TPS1,19990822000013,0,00000000000000,+18,+00,0,+0000.000,+4309*14,,,,,,,,,,,
